"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","791","Проверка ответа 'Сутки — 400 рублей. Оплата курьеру — наличными или картой.' в аккордеоне на главной странице","tests","2025-09-26","passed","2025-09-26","TestAccordeonMainPage","test_accordeon_main_page","",""
"","2889","Появление окна ""Заказ оформлен"" после заказа самоката","tests","2025-09-26","passed","2025-09-26","TestOrderScooter","test_order_scooter","",""
"","887","Открытие главной страницы после клика по лого ""Самокат""","tests","2025-09-26","passed","2025-09-26","TestLogoHeader","test_logo_header","",""
"","773","Проверка ответа 'Только начиная с завтрашнего дня. Но скоро станем расторопнее.' в аккордеоне на главной странице","tests","2025-09-26","passed","2025-09-26","TestAccordeonMainPage","test_accordeon_main_page","",""
"","800","Проверка ответа 'Пока что у нас так: один заказ — один самокат. Если хотите покататься с друзьями, можете просто сделать несколько заказов — один за другим.' в аккордеоне на главной странице","tests","2025-09-26","passed","2025-09-26","TestAccordeonMainPage","test_accordeon_main_page","",""
"","2212","Открытие страницы Дзена после клика на лого ""Яндекс""","tests","2025-09-26","passed","2025-09-26","TestLogoHeader","test_logo_header","",""
"","2796","Появление окна ""Заказ оформлен"" после заказа самоката","tests","2025-09-26","passed","2025-09-26","TestOrderScooter","test_order_scooter","",""
"","847","Проверка ответа 'Да, обязательно. Всем самокатов! И Москве, и Московской области.' в аккордеоне на главной странице","tests","2025-09-26","passed","2025-09-26","TestAccordeonMainPage","test_accordeon_main_page","",""
"","786","Проверка ответа 'Пока что нет! Но если что-то срочное — всегда можно позвонить в поддержку по красивому номеру 1010.' в аккордеоне на главной странице","tests","2025-09-26","passed","2025-09-26","TestAccordeonMainPage","test_accordeon_main_page","",""
"","792","Проверка ответа 'Допустим, вы оформляете заказ на 8 мая. Мы привозим самокат 8 мая в течение дня. Отсчёт времени аренды начинается с момента, когда вы оплатите заказ курьеру. Если мы привезли самокат 8 мая в 20:30, суточная аренда закончится 9 мая в 20:30.' в аккордеоне на главной странице","tests","2025-09-26","passed","2025-09-26","TestAccordeonMainPage","test_accordeon_main_page","",""
"","787","Проверка ответа 'Самокат приезжает к вам с полной зарядкой. Этого хватает на восемь суток — даже если будете кататься без передышек и во сне. Зарядка не понадобится.' в аккордеоне на главной странице","tests","2025-09-26","passed","2025-09-26","TestAccordeonMainPage","test_accordeon_main_page","",""
"","915","Проверка ответа 'Да, пока самокат не привезли. Штрафа не будет, объяснительной записки тоже не попросим. Все же свои.' в аккордеоне на главной странице","tests","2025-09-26","passed","2025-09-26","TestAccordeonMainPage","test_accordeon_main_page","",""
